date,shares,entry,exit,reason,notional,lev,pnl,equity,ret_R
2018-01-03,2504,159.729,160.02,flat,399961.0,4.0,678.58,100678.58,0.68
2018-01-05,2250,161.67,161.9,flat,363758.0,3.61,472.5,101151.08,0.47
2018-01-08,2491,162.425,162.33,stop,404601.0,4.0,-286.46,100864.62,-0.28
2018-01-09,2482,162.55,162.575,stop,403449.0,4.0,12.41,100877.03,0.01
2018-01-12,2199,164.29,164.4,flat,361274.0,3.58,197.91,101074.94,0.2
2018-01-17,2452,164.8375,165.73,flat,404182.0,4.0,2139.37,103214.31,2.12
2018-01-22,1824,167.49,167.96,flat,305502.0,2.96,820.8,104035.11,0.8
2018-01-23,2459,169.19,169.1,stop,416038.0,4.0,-270.49,103764.62,-0.26
2018-01-25,2452,169.235,168.875,stop,414964.0,4.0,-931.76,102832.86,-0.9
2018-01-26,2424,169.635,170.7198,flat,411195.0,4.0,2581.08,105413.93,2.51
2018-02-01,2002,169.53,169.04,stop,339399.0,3.22,-1021.02,104392.91,-0.97
2018-02-05,2539,164.41,164.17,stop,417437.0,4.0,-660.14,103732.77,-0.63
2018-02-06,2617,158.5232,158.4038,stop,414855.0,4.0,-364.81,103367.96,-0.35
2018-02-07,1747,162.96,162.38,stop,284691.0,2.75,-1048.2,102319.76,-1.01
2018-02-13,2574,158.9762,158.57,stop,409205.0,4.0,-1097.04,101222.73,-1.07
2018-02-14,1595,161.04,162.765,flat,256859.0,2.54,2719.47,103942.2,2.69
2018-02-16,1944,166.43,165.93,stop,323540.0,3.11,-1010.88,102931.32,-0.97
2018-02-20,917,166.66,165.72,stop,152827.0,1.48,-880.32,102051.0,-0.86
2018-02-21,2447,166.7548,166.43,stop,408049.0,4.0,-843.73,101207.27,-0.83
2018-02-26,2388,169.51,170.12,flat,404790.0,4.0,1408.92,102616.19,1.39
2018-03-02,719,164.69,166.13,flat,118412.0,1.15,1020.98,103637.17,0.99
2018-03-09,1389,172.26,172.95,flat,239269.0,2.31,930.63,104567.8,0.9
2018-03-15,2430,172.125,171.8467,stop,418264.0,4.0,-724.87,103842.94,-0.69
2018-03-21,2472,167.9799,167.83,stop,415246.0,4.0,-419.99,103422.94,-0.4
2018-03-29,1254,159.21,160.4,flat,199649.0,1.93,1467.18,104890.12,1.42
2018-04-04,732,157.12,160.23,flat,115012.0,1.1,2261.88,107152.0,2.16
2018-04-09,896,160.38,159.62,stop,143700.0,1.34,-698.88,106453.12,-0.65
2018-04-10,2656,160.27,160.12,stop,425677.0,4.0,-451.52,106001.6,-0.42
2018-04-11,1849,161.45,160.96,stop,298521.0,2.82,-942.99,105058.61,-0.89
2018-04-12,2590,162.21,162.08,stop,420124.0,4.0,-388.5,104670.11,-0.37
2018-04-17,1558,165.66,165.94,flat,258098.0,2.47,405.08,105075.19,0.39
2018-04-23,2573,163.31,162.86,stop,420197.0,4.0,-1209.31,103865.88,-1.15
2018-04-26,2575,161.3,162.07,flat,415348.0,4.0,1931.25,105797.13,1.86
2018-05-04,1211,164.18,164.715,flat,198822.0,1.88,623.66,106420.8,0.59
2018-05-07,2554,166.65,166.23,stop,425624.0,4.0,-1123.76,105297.04,-1.06
2018-05-08,2541,165.715,165.69,stop,421082.0,4.0,-114.35,105182.69,-0.11
2018-05-10,2487,169.13,169.02,stop,420626.0,4.0,-323.31,104859.38,-0.31
2018-05-11,2474,169.53,169.41,stop,419417.0,4.0,-346.36,104513.02,-0.33
2018-05-16,2476,168.8,168.73,stop,417949.0,4.0,-222.84,104290.18,-0.21
2018-05-23,2486,167.8,169.505,flat,417151.0,4.0,4188.91,108479.09,4.02
2018-05-25,2550,170.11,169.93,stop,433781.0,4.0,-510.0,107969.09,-0.47
2018-06-01,1581,172.57,172.6399,flat,272833.0,2.53,78.89,108047.99,0.07
2018-06-04,2487,173.76,174.14,flat,432141.0,4.0,895.32,108943.31,0.83
2018-06-12,2356,175.76,175.43,stop,414091.0,3.8,-824.6,108118.71,-0.76
2018-06-13,2443,176.96,176.62,stop,432313.0,4.0,-879.48,107239.23,-0.81
2018-06-14,2416,177.505,177.24,stop,428852.0,4.0,-688.56,106550.67,-0.64
2018-06-15,2410,176.8,176.965,flat,426088.0,4.0,349.45,106900.12,0.33
2018-06-18,2161,176.28,176.54,flat,380941.0,3.56,518.64,107418.76,0.49
2018-07-02,2512,171.01,170.78,stop,429577.0,4.0,-628.0,106790.76,-0.58
2018-07-06,1099,175.12,175.485,flat,192457.0,1.8,379.16,107169.91,0.36
2018-07-10,2413,177.59,177.34,stop,428525.0,4.0,-651.51,106518.4,-0.61
2018-07-12,1453,178.83,179.37,flat,259840.0,2.44,755.56,107273.96,0.71
2018-07-13,2386,179.77,179.54,stop,428931.0,4.0,-596.5,106677.46,-0.56
2018-07-17,985,179.66,180.36,flat,176965.0,1.66,669.8,107347.26,0.63
2018-07-19,2391,179.5602,179.27,stop,429328.0,4.0,-741.69,106605.57,-0.69
2018-07-23,1518,179.16,179.46,flat,271965.0,2.55,425.04,107030.61,0.4
2018-07-25,2313,181.215,182.72,flat,419150.0,3.92,3434.8,110465.42,3.21
2018-07-26,2443,180.82,180.515,stop,441743.0,4.0,-793.98,109671.44,-0.72
2018-08-02,1317,178.11,179.635,flat,234571.0,2.14,1982.08,111653.53,1.81
2018-08-06,2473,180.53,181.14,flat,446451.0,4.0,1459.07,113112.6,1.31
2018-08-08,2488,181.81,181.68,stop,452343.0,4.0,-373.2,112739.4,-0.33
2018-08-09,2475,182.17,182.25,stop,450871.0,4.0,148.5,112887.9,0.13
2018-08-16,2497,180.799,180.54,stop,451455.0,4.0,-696.66,112191.23,-0.62
2018-08-21,2478,181.09,180.83,stop,448741.0,4.0,-693.84,111497.39,-0.62
2018-08-24,2443,182.485,182.13,stop,445811.0,4.0,-916.13,110581.27,-0.82
2018-08-27,2400,184.24,184.145,flat,442176.0,4.0,-276.0,110305.27,-0.25
2018-08-29,1913,186.375,186.71,flat,356535.0,3.23,602.6,110907.86,0.55
2018-08-30,2373,186.88,186.83,stop,443466.0,4.0,-166.11,110741.75,-0.15
2018-09-07,2432,182.1,181.81,stop,442867.0,4.0,-753.92,109987.83,-0.68
2018-09-11,803,183.26,183.155,flat,147158.0,1.34,-100.37,109887.46,-0.09
2018-09-13,2379,184.74,184.35,stop,439496.0,4.0,-975.39,108912.07,-0.89
2018-09-18,1586,183.58,182.98,stop,291158.0,2.67,-983.32,107928.75,-0.9
2018-09-20,2338,184.59,184.36,stop,431571.0,4.0,-584.5,107344.25,-0.54
2018-09-21,2324,184.74,184.66,stop,429336.0,4.0,-232.4,107111.85,-0.22
2018-09-24,1223,183.389,183.9,flat,224285.0,2.09,600.49,107712.34,0.56
2018-09-26,2325,185.235,185.11,stop,430671.0,4.0,-337.12,107375.22,-0.31
2018-09-27,2305,186.26,186.02,stop,429329.0,4.0,-599.3,106775.92,-0.56
2018-09-28,2298,185.82,185.4599,stop,427014.0,4.0,-873.47,105902.45,-0.82
