date,reason,pnl,equity,lev,ret_R
2018-01-03,flat,339.29,100339.29,2.0,
2018-01-05,flat,260.61,100599.9,2.0,
2018-01-08,stop,-142.37,100457.53,2.0,
2018-01-09,stop,6.18,100463.71,2.0,
2018-01-12,flat,110.07,100573.78,2.0,
2018-01-17,flat,1064.45,101638.23,2.0,
2018-01-22,flat,545.85,102184.08,2.0,
2018-01-23,stop,-132.77,102051.31,2.0,
2018-01-25,stop,-458.28,101593.03,2.0,
2018-01-26,flat,1274.57,102867.6,2.0,
2018-02-01,stop,-618.63,102248.97,2.0,
2018-02-05,stop,-323.18,101925.79,2.0,
2018-02-06,stop,-179.13,101746.66,2.0,
2018-02-07,stop,-748.8,100997.86,2.0,
2018-02-13,stop,-541.27,100456.58,2.0,
2018-02-14,flat,2126.13,102582.72,2.0,
2018-02-16,stop,-640.64,101942.08,2.0,
2018-02-20,stop,-1174.08,100768.0,2.0,
2018-02-21,stop,-416.52,100351.48,2.0,
2018-02-26,flat,698.56,101050.04,2.0,
2018-03-02,flat,1742.34,102792.38,2.0,
2018-03-09,flat,799.31,103591.69,2.0,
2018-03-15,stop,-358.85,103232.84,2.0,
2018-03-21,stop,-208.81,103024.03,2.0,
2018-03-29,flat,1513.98,104538.01,2.0,
2018-04-04,flat,4109.7,108647.71,2.0,
2018-04-09,stop,-1056.12,107591.59,2.0,
2018-04-10,stop,-228.14,107363.45,2.0,
2018-04-11,stop,-677.79,106685.66,2.0,
2018-04-12,stop,-197.25,106488.41,2.0,
2018-04-17,flat,334.1,106822.51,2.0,
2018-04-23,stop,-614.76,106207.75,2.0,
2018-04-26,flat,987.0,107194.75,2.0,
2018-05-04,flat,672.07,107866.82,2.0,
2018-05-07,stop,-569.36,107297.46,2.0,
2018-05-08,stop,-58.23,107239.23,2.0,
2018-05-10,stop,-164.84,107074.39,2.0,
2018-05-11,stop,-176.82,106897.57,2.0,
2018-05-16,stop,-113.94,106783.63,2.0,
2018-05-23,flat,2143.32,108926.95,2.0,
2018-05-25,stop,-256.0,108670.95,2.0,
2018-06-01,flat,62.82,108733.78,2.0,
2018-06-04,flat,450.36,109184.14,2.0,
2018-06-12,stop,-434.7,108749.44,2.0,
2018-06-13,stop,-442.44,108307.0,2.0,
2018-06-14,stop,-347.7,107959.3,2.0,
2018-06-15,flat,177.04,108136.34,2.0,
2018-06-18,flat,294.24,108430.58,2.0,
2018-07-02,stop,-317.0,108113.58,2.0,
2018-07-06,flat,425.73,108539.31,2.0,
2018-07-10,stop,-329.94,108209.37,2.0,
2018-07-12,flat,629.2,108838.57,2.0,
2018-07-13,stop,-302.5,108536.07,2.0,
2018-07-17,flat,821.44,109357.51,2.0,
2018-07-19,stop,-377.82,108979.69,2.0,
2018-07-23,flat,340.48,109320.17,2.0,
2018-07-25,flat,1790.91,111111.08,2.0,
2018-07-26,stop,-399.1,110711.98,2.0,
2018-08-02,flat,1870.71,112582.69,2.0,
2018-08-06,flat,735.73,113318.42,2.0,
2018-08-08,stop,-186.9,113131.52,2.0,
2018-08-09,stop,74.52,113206.04,2.0,
2018-08-16,stop,-349.31,112856.74,2.0,
2018-08-21,stop,-348.88,112507.86,2.0,
2018-08-24,stop,-462.38,112045.48,2.0,
2018-08-27,flat,-139.84,111905.64,2.0,
2018-08-29,flat,378.0,112283.64,2.0,
2018-08-30,stop,-84.07,112199.57,2.0,
2018-09-07,stop,-381.92,111817.65,2.0,
2018-09-11,flat,-152.5,111665.15,2.0,
2018-09-13,stop,-495.28,111169.87,2.0,
2018-09-18,stop,-750.82,110419.05,2.0,
2018-09-20,stop,-299.0,110120.05,2.0,
2018-09-21,stop,-119.2,110000.85,2.0,
2018-09-24,flat,588.71,110589.56,2.0,
2018-09-26,stop,-173.13,110416.43,2.0,
2018-09-27,stop,-308.1,110108.33,2.0,
2018-09-28,stop,-450.42,109657.91,2.0,
2018-10-02,stop,-849.7,108808.21,2.0,
2018-10-09,stop,-692.87,108115.34,2.0,
2018-10-25,flat,1780.8,109896.14,2.0,
2018-10-30,stop,-822.41,109073.73,2.0,
2018-11-07,flat,929.88,110003.61,2.0,
2018-11-21,stop,-286.23,109717.38,2.0,
2018-11-27,stop,-846.09,108871.29,2.0,
2018-11-30,stop,-63.23,108808.06,2.0,
2018-12-12,stop,-1040.0,107768.06,2.0,
2018-12-17,stop,-1830.92,105937.15,2.0,
2018-12-19,stop,-489.88,105447.27,2.0,
2019-01-04,flat,880.75,106328.02,2.0,
2019-01-07,flat,-402.6,105925.42,2.0,
2019-01-10,stop,-883.73,105041.69,2.0,
2019-01-11,stop,-301.07,104740.62,2.0,
2019-01-14,stop,-301.76,104438.86,2.0,
2019-01-15,stop,-978.25,103460.61,2.0,
2019-01-17,flat,1106.64,104567.25,2.0,
2019-01-25,stop,-455.04,104112.21,2.0,
2019-01-31,stop,-1117.84,102994.37,2.0,
2019-02-01,stop,-415.82,102578.55,2.0,
2019-02-04,flat,260.8,102839.35,2.0,
2019-02-05,stop,-281.01,102558.33,2.0,
