config,n_days,n_fires,fire_rate_pct,trend_up_fire_pct,trend_up_base_pct,med_bps,mean_bps,hit_pct,med_H1,med_H2,target_pct,stop_pct
IWM_2018,246,70,28.5,34.3,14.2,1.3,-2.7,55.7,1.8,-0.6,62.9,37.1
IWM_2019,246,86,35.0,41.9,16.7,0.0,-2.5,50.0,0.3,-1.2,53.5,44.2
IWM_2020,245,87,35.5,31.0,15.5,-0.4,-4.9,49.4,-6.9,3.9,51.7,48.3
IWM_2021,248,91,36.7,39.6,16.9,2.7,1.5,64.8,3.5,2.7,70.3,27.5
IWM_2022,248,74,29.8,50.0,19.4,-4.6,-7.6,44.6,-1.0,-5.8,45.9,54.1
IWM_2023,245,79,32.2,30.4,14.3,-0.5,-2.7,49.4,0.3,-1.9,49.4,48.1
IWM_2024,247,82,33.2,34.1,13.0,3.3,3.0,56.1,2.0,3.8,57.3,40.2
QQQ_2018,244,89,36.5,41.6,20.5,1.1,-0.2,56.2,1.2,0.0,60.7,37.1
QQQ_2019,247,91,36.8,39.6,17.0,2.3,-0.8,56.0,3.8,-0.2,56.0,40.7
QQQ_2020,245,93,38.0,36.6,19.2,2.3,1.2,63.4,4.6,1.8,65.6,34.4
QQQ_2021,249,98,39.4,44.9,21.3,1.0,0.1,57.1,3.0,0.0,60.2,37.8
QQQ_2022,248,80,32.3,52.5,21.0,1.8,-0.3,53.8,-2.2,4.3,55.0,43.8
QQQ_2023,246,87,35.4,46.0,21.1,4.4,1.0,62.1,6.7,1.8,64.4,34.5
QQQ_2024,247,96,38.9,37.5,16.6,1.1,1.0,52.1,1.7,-0.1,54.2,44.8
SPY_2018,246,80,32.5,36.2,18.3,0.7,-0.3,58.8,1.1,0.0,66.2,33.8
SPY_2019,246,86,35.0,37.2,16.3,-0.2,-0.7,48.8,2.8,-1.2,54.7,45.3
SPY_2020,245,87,35.5,29.9,15.1,3.6,1.5,64.4,6.0,0.8,65.5,34.5
SPY_2021,248,90,36.3,48.9,21.0,1.6,1.5,60.0,1.7,1.1,67.8,31.1
SPY_2022,248,66,26.6,56.1,21.8,1.5,-2.3,53.0,0.5,4.0,53.0,45.5
SPY_2023,245,80,32.7,38.8,20.0,2.2,0.3,62.5,0.9,2.9,65.0,32.5
SPY_2024,247,78,31.6,30.8,15.0,1.2,1.3,51.3,-0.6,2.5,56.4,43.6
