config,n_trades,n_long,n_short,final_equity,total_return_pct,max_drawdown_pct,sharpe,win_rate_pct,avg_R,stop_out_pct,avg_leverage,pnl_H1,pnl_H2,bh_ret_pct,n_days
IWM_2018,49,42,7,9874.0,-1.3,-3.6,-0.54,46.9,-0.006,22.4,2.75,-262.0,136.0,-13.7,246
IWM_2019,41,33,8,10754.0,7.5,-3.0,3.39,61.0,0.213,22.0,2.78,115.0,639.0,25.2,246
IWM_2020,53,44,9,10261.0,2.6,-5.2,1.03,54.7,0.073,22.6,1.64,428.0,-167.0,19.0,245
IWM_2021,44,34,10,10431.0,4.3,-3.1,2.33,61.4,0.114,13.6,1.64,592.0,-161.0,13.4,248
IWM_2022,40,32,8,10778.0,7.8,-3.3,3.2,55.0,0.208,12.5,1.41,177.0,601.0,-22.3,248
IWM_2023,48,38,10,10304.0,3.0,-3.5,1.49,58.3,0.085,16.7,1.84,175.0,129.0,16.2,245
IWM_2024,47,37,10,10097.0,1.0,-4.6,0.54,55.3,0.042,14.9,1.93,-88.0,185.0,13.7,247
QQQ_2018,55,43,12,10182.0,1.8,-4.0,0.69,49.1,0.076,27.3,2.55,86.0,96.0,-4.4,244
QQQ_2019,34,25,9,10730.0,7.3,-3.0,4.04,58.8,0.24,17.6,3.01,245.0,485.0,41.7,247
QQQ_2020,52,42,10,9155.0,-8.5,-10.0,-4.24,44.2,-0.154,21.2,1.91,-373.0,-472.0,46.1,245
QQQ_2021,43,37,6,10252.0,2.5,-2.0,1.46,62.8,0.051,20.9,2.49,8.0,244.0,28.3,249
QQQ_2022,54,41,13,9693.0,-3.1,-7.9,-1.22,48.1,-0.047,22.2,1.38,-544.0,237.0,-32.8,248
QQQ_2023,53,48,5,9435.0,-5.7,-7.5,-2.04,41.5,-0.105,35.8,2.39,-498.0,-67.0,54.7,246
QQQ_2024,57,41,16,10170.0,1.7,-6.5,0.64,50.9,0.066,19.3,2.79,-72.0,242.0,29.4,247
SPY_2018,47,36,11,10839.0,8.4,-2.3,3.87,68.1,0.323,21.3,3.28,450.0,389.0,-8.4,246
SPY_2019,43,30,13,10152.0,1.5,-4.1,0.86,48.8,0.039,18.6,3.33,330.0,-179.0,31.5,246
SPY_2020,43,34,9,9888.0,-1.1,-6.5,-0.61,48.8,-0.019,20.9,2.59,461.0,-573.0,15.3,245
SPY_2021,52,43,9,10047.0,0.5,-2.7,0.28,50.0,0.075,17.3,3.44,4.0,43.0,28.2,248
SPY_2022,52,38,14,9830.0,-1.7,-8.3,-0.54,48.1,-0.024,32.7,2.08,-503.0,333.0,-19.7,248
SPY_2023,59,47,12,10369.0,3.7,-6.1,1.2,49.2,0.117,30.5,3.54,407.0,-38.0,24.2,245
SPY_2024,77,59,18,10278.0,2.8,-5.4,0.92,53.2,0.011,31.2,3.69,114.0,164.0,25.5,247
