date,side,shares,notional,leverage,pnl,r_multiple,exit_reason,equity
2025-07-01,LONG,72,39609.0,3.96,-72.72,-1.0,stop,9927.28
2025-07-09,LONG,46,25603.0,2.58,-98.74,-1.0,stop,9828.54
2025-07-14,LONG,40,22162.0,2.25,43.6,0.457,time,9872.14
2025-07-17,LONG,59,32973.0,3.34,81.13,0.842,time,9953.27
2025-07-28,LONG,70,39798.0,4.0,-23.1,-0.308,time,9930.17
2025-08-06,LONG,57,32054.0,3.23,83.23,0.858,time,10013.39
2025-08-18,LONG,68,39244.0,3.92,-101.07,-1.0,stop,9912.33
2025-08-26,LONG,60,34226.0,3.45,37.5,0.394,time,9949.83
2025-09-03,LONG,69,39274.0,3.95,145.25,1.749,time,10095.07
2025-09-11,LONG,63,36742.0,3.64,40.21,0.416,time,10135.28
2025-09-22,LONG,67,40131.0,3.96,99.49,1.209,time,10234.77
2025-09-26,LONG,48,28563.0,2.79,-101.94,-1.0,stop,10132.83
2025-09-29,LONG,53,31850.0,3.14,-0.73,0.003,time,10132.11
2025-10-13,LONG,33,19808.0,1.95,-73.43,-0.731,time,10058.67
2025-10-24,LONG,55,33931.0,3.37,-49.77,-0.492,time,10008.9
2025-10-27,LONG,64,40010.0,4.0,23.36,0.342,time,10032.26
2025-10-29,LONG,63,40097.0,4.0,-73.32,-1.0,stop,9958.94
2025-10-30,LONG,26,16419.0,1.65,-50.79,-0.518,time,9908.15
2025-10-31,SHORT,46,29075.0,2.93,-59.69,-0.598,time,9848.46
2025-11-05,LONG,26,16143.0,1.64,49.14,0.518,time,9897.6
2025-11-07,SHORT,28,16936.0,1.71,95.27,0.981,time,9992.87
2025-11-14,LONG,15,9052.0,0.91,93.83,0.998,time,10086.7
2025-11-18,SHORT,17,10144.0,1.01,57.42,0.603,time,10144.11
2025-11-20,LONG,38,23282.0,2.3,-84.27,-0.83,time,10059.85
2025-11-24,LONG,27,16169.0,1.61,70.61,0.717,time,10130.45
2025-12-01,LONG,32,19699.0,1.94,58.1,0.596,time,10188.55
2025-12-02,LONG,40,24861.0,2.44,66.44,0.662,time,10254.99
2025-12-03,LONG,52,32240.0,3.14,65.0,0.646,time,10319.99
2025-12-04,SHORT,33,20520.0,1.99,10.15,0.105,time,10330.14
2025-12-09,LONG,47,29288.0,2.84,69.21,0.693,time,10399.34
2025-12-19,LONG,27,16624.0,1.6,-24.1,-0.229,time,10375.25
2026-01-08,SHORT,27,16732.0,1.61,-23.06,-0.225,time,10352.19
2026-01-14,SHORT,27,16732.0,1.62,92.14,0.914,time,10444.33
2026-01-22,SHORT,32,19815.0,1.9,-7.44,-0.066,time,10436.89
2026-01-27,LONG,41,25824.0,2.47,53.21,0.524,time,10490.09
2026-02-04,SHORT,28,17120.0,1.63,56.63,0.557,time,10546.73
2026-02-10,LONG,37,22763.0,2.16,1.67,0.023,time,10548.39
2026-02-12,SHORT,28,17139.0,1.62,153.09,1.478,time,10701.48
2026-02-19,LONG,37,22346.0,2.09,37.28,0.361,time,10738.76
2026-02-20,LONG,21,12690.0,1.18,117.13,1.112,time,10855.89
2026-02-23,SHORT,32,19350.0,1.78,122.4,1.16,time,10978.29
2026-03-04,LONG,41,24848.0,2.26,189.83,1.771,time,11168.12
2026-03-05,LONG,30,18331.0,1.64,-110.85,-1.0,stop,11057.27
2026-03-06,LONG,46,27643.0,2.5,163.99,1.503,time,11221.26
2026-03-11,LONG,61,37226.0,3.32,-112.35,-1.0,stop,11108.91
2026-03-16,LONG,52,31269.0,2.81,-110.24,-1.0,stop,10998.67
2026-03-19,LONG,31,18308.0,1.66,13.33,0.128,time,11012.0
2026-03-23,LONG,35,20724.0,1.88,37.18,0.346,time,11049.18
2026-04-13,LONG,40,24433.0,2.21,74.9,0.699,time,11124.08
2026-04-22,LONG,68,44198.0,3.97,160.14,1.632,time,11284.22
2026-04-24,LONG,47,30968.0,2.74,68.68,0.624,time,11352.9
2026-05-04,LONG,67,45234.0,3.98,9.38,0.101,time,11362.28
2026-05-20,LONG,36,25459.0,2.24,96.66,0.875,time,11458.94
2026-05-21,LONG,44,31262.0,2.73,-113.41,-1.0,stop,11345.53
2026-05-28,LONG,32,23358.0,2.06,92.62,0.825,time,11438.15
2026-05-29,LONG,40,29611.0,2.59,-114.5,-1.0,stop,11323.65
2026-06-02,LONG,34,25245.0,2.23,68.42,0.62,time,11392.08
2026-06-11,LONG,17,11957.0,1.05,-111.77,-1.0,stop,11280.3
2026-06-17,SHORT,32,23426.0,2.08,-113.2,-1.0,stop,11167.1
2026-06-18,LONG,28,20618.0,1.85,41.86,0.393,time,11208.96
2026-06-22,LONG,35,26027.0,2.32,-112.66,-1.0,stop,11096.31
