date,side,entry,stop,exit,exit_reason,entry_t,exit_t,stop_dist,raw_ret
2025-07-01,LONG,550.13,549.14,549.14,stop,10:19,10:22,0.9900000000000091,-0.9900000000000091
2025-07-09,LONG,556.5864750000001,554.46,554.46,stop,10:27,10:36,2.1264750000000276,-2.1264750000000276
2025-07-14,LONG,554.06,551.63,555.17,time,10:27,10:59,2.42999999999995,1.1100000000000136
2025-07-17,LONG,558.8675,557.21,560.2625,time,10:19,10:59,1.6574999999999136,1.3950000000000955
2025-07-28,LONG,568.545,567.54,568.235,time,10:03,10:59,1.0049999999999955,-0.30999999999994543
2025-08-06,LONG,562.355,560.63,563.8351,time,10:14,10:59,1.7250000000000227,1.480099999999993
2025-08-18,LONG,577.11125,575.645,575.645,stop,10:28,10:46,1.4662500000000591,-1.4662500000000591
2025-08-26,LONG,570.435,568.8,571.08,time,10:11,10:59,1.634999999999991,0.6450000000000955
2025-09-03,LONG,569.195,567.98,571.32,time,10:12,10:59,1.2150000000000318,2.125
2025-09-11,LONG,583.2025,581.62,583.8607,time,10:10,10:59,1.5824999999999818,0.6581999999999653
2025-09-22,LONG,598.965,597.72,600.47,time,10:11,10:59,1.2450000000000045,1.5049999999999955
2025-09-26,LONG,595.06375,592.96,592.96,stop,10:03,10:11,2.103749999999991,-2.103749999999991
2025-09-29,LONG,600.93875,599.045,600.945,time,10:19,10:59,1.8937500000000682,0.006250000000022737
2025-10-13,LONG,600.245,597.23,598.0397,time,10:20,10:59,3.0149999999999864,-2.2052999999999656
2025-10-24,LONG,616.93,615.13,616.045,time,10:21,10:59,1.7999999999999545,-0.8849999999999909
2025-10-27,LONG,625.155,624.03,625.54,time,10:17,10:59,1.125,0.3849999999999909
2025-10-29,LONG,636.45375,635.31,635.31,stop,10:03,10:50,1.1437500000000682,-1.1437500000000682
2025-10-30,LONG,631.495,627.76,629.5614,time,10:04,10:59,3.7350000000000136,-1.9335999999999558
2025-10-31,SHORT,632.0625,634.2,633.34,time,10:08,10:59,2.1375000000000455,-1.2775000000000318
2025-11-05,LONG,620.9,617.21,622.81,time,10:15,10:59,3.689999999999941,1.9099999999999682
2025-11-07,SHORT,604.8425,608.33,601.42,time,10:09,10:59,3.487500000000068,3.4225000000000136
2025-11-14,LONG,603.4549999999999,597.17,609.73,time,10:12,10:59,6.284999999999968,6.275000000000091
2025-11-18,SHORT,596.6775,602.31,593.28,time,10:23,10:59,5.632499999999936,3.3975000000000364
2025-11-20,LONG,612.677575,610.03,610.48,time,10:03,10:59,2.6475750000000744,-2.197575000000029
2025-11-24,LONG,598.8349999999999,595.16,601.47,time,10:11,10:59,3.6749999999999545,2.6350000000001046
2025-12-01,LONG,615.6025,612.52,617.4382,time,10:21,10:59,3.082499999999982,1.835700000000088
2025-12-02,LONG,621.519125,618.98,623.2,time,10:28,10:59,2.5391250000000127,1.6808750000000146
2025-12-03,LONG,619.995,618.03,621.265,time,10:10,10:59,1.9650000000000318,1.2699999999999818
2025-12-04,SHORT,621.8275,624.94,621.5,time,10:28,10:59,3.112500000000068,0.32749999999998636
2025-12-09,LONG,623.1525,621.0,624.645,time,10:08,10:59,2.152500000000032,1.49249999999995
2025-12-19,LONG,615.6875,611.87,614.815,time,10:21,10:59,3.8174999999999955,-0.8724999999999454
2026-01-08,SHORT,619.7059999999999,623.42,620.54,time,10:06,10:59,3.7140000000000555,-0.83400000000006
2026-01-14,SHORT,619.6925000000001,623.45,616.26,time,10:11,10:59,3.7574999999999363,3.4325000000001182
2026-01-22,SHORT,619.2275,622.46,619.44,time,10:21,10:59,3.2325000000000728,-0.21250000000009095
2026-01-27,LONG,629.8525000000001,627.34,631.1703,time,10:06,10:59,2.5125000000000455,1.3177999999999201
2026-02-04,SHORT,611.432575,615.1,609.39,time,10:09,10:59,3.66742499999998,2.042575000000056
2026-02-10,LONG,615.2049999999999,612.4,615.27,time,10:13,10:59,2.80499999999995,0.06500000000005457
2026-02-12,SHORT,612.0975,615.81,606.61,time,10:15,10:59,3.7124999999999773,5.4874999999999545
2026-02-19,LONG,603.9325,601.09,604.96,time,10:12,10:59,2.8424999999999727,1.0275000000000318
2026-02-20,LONG,604.2625,599.23,609.86,time,10:05,10:59,5.032500000000027,5.597499999999968
2026-02-23,SHORT,604.695,608.01,600.85,time,10:20,10:59,3.314999999999941,3.8450000000000273
2026-03-04,LONG,606.055,603.43,610.705,time,10:03,10:59,2.625,4.650000000000091
2026-03-05,LONG,611.045,607.37,607.37,stop,10:08,10:30,3.6749999999999545,-3.6749999999999545
2026-03-06,LONG,600.925,598.54,604.51,time,10:09,10:59,2.384999999999991,3.5850000000000364
2026-03-11,LONG,610.26275,608.441,608.441,stop,10:03,10:25,1.8217499999999518,-1.8217499999999518
2026-03-16,LONG,601.3299999999999,599.23,599.23,stop,10:30,10:50,2.099999999999909,-2.099999999999909
2026-03-19,LONG,590.59,587.08,591.04,time,10:10,10:59,3.509999999999991,0.4499999999999318
2026-03-23,LONG,592.12775,589.001,593.21,time,10:04,10:59,3.1267500000000155,1.0822500000000446
2026-04-13,LONG,610.8175,608.11,612.71,time,10:15,10:59,2.707499999999982,1.892500000000041
2026-04-22,LONG,649.975,648.52,652.35,time,10:05,10:59,1.455000000000041,2.375
2026-04-24,LONG,658.903775,656.5301,660.385,time,10:15,10:59,2.3736750000000484,1.481224999999995
2026-05-04,LONG,675.14,673.55,675.3,time,10:29,10:59,1.5900000000000318,0.15999999999996817
2026-05-20,LONG,707.2,704.11,709.905,time,10:18,10:59,3.090000000000032,2.7049999999999272
2026-05-21,LONG,710.4975000000001,707.94,707.94,stop,10:07,10:20,2.5575000000000045,-2.5575000000000045
2026-05-28,LONG,729.9425,726.41,732.857,time,10:23,10:59,3.5325000000000273,2.9144999999999754
2026-05-29,LONG,740.272425,737.43,737.43,stop,10:09,10:26,2.8424250000000484,-2.8424250000000484
2026-06-02,LONG,742.5075,739.23,744.54,time,10:26,10:59,3.277500000000032,2.0324999999999136
2026-06-11,LONG,703.375,696.82,696.82,stop,10:10,10:57,6.55499999999995,-6.55499999999995
2026-06-17,SHORT,732.0525,735.57,735.57,stop,10:04,10:24,3.517500000000041,-3.517500000000041
2026-06-18,LONG,736.365,732.51,737.88,time,10:27,10:59,3.855000000000018,1.5149999999999864
2026-06-22,LONG,743.6287500000001,740.43,740.43,stop,10:15,10:27,3.198750000000132,-3.198750000000132
