col,target,bucket,n,rate_pct,base_pct,med_val
gap_pct,Y_up_trail,"(-3.017, -0.5]",44,43.2,27.2,-0.854
gap_pct,Y_up_trail,"(-0.5, -0.049]",43,25.6,27.2,-0.214
gap_pct,Y_up_trail,"(-0.049, 0.236]",43,30.2,27.2,0.134
gap_pct,Y_up_trail,"(0.236, 0.645]",43,14.0,27.2,0.405
gap_pct,Y_up_trail,"(0.645, 3.401]",44,22.7,27.2,0.959
gap_pct,Y_trend_up,"(-3.017, -0.5]",44,20.5,17.5,-0.854
gap_pct,Y_trend_up,"(-0.5, -0.049]",43,9.3,17.5,-0.214
gap_pct,Y_trend_up,"(-0.049, 0.236]",43,14.0,17.5,0.134
gap_pct,Y_trend_up,"(0.236, 0.645]",43,20.9,17.5,0.405
gap_pct,Y_trend_up,"(0.645, 3.401]",44,22.7,17.5,0.959
gap_pct,Y_wide,"(-3.017, -0.5]",44,36.4,25.3,-0.854
gap_pct,Y_wide,"(-0.5, -0.049]",43,30.2,25.3,-0.214
gap_pct,Y_wide,"(-0.049, 0.236]",43,14.0,25.3,0.134
gap_pct,Y_wide,"(0.236, 0.645]",43,18.6,25.3,0.405
gap_pct,Y_wide,"(0.645, 3.401]",44,27.3,25.3,0.959
gap_over_prange,Y_up_trail,"(-2.014, -0.35]",44,36.4,27.2,-0.67
gap_over_prange,Y_up_trail,"(-0.35, -0.0537]",43,32.6,27.2,-0.185
gap_over_prange,Y_up_trail,"(-0.0537, 0.205]",43,34.9,27.2,0.086
gap_over_prange,Y_up_trail,"(0.205, 0.488]",43,16.3,27.2,0.317
gap_over_prange,Y_up_trail,"(0.488, 2.277]",44,15.9,27.2,0.734
gap_over_prange,Y_trend_up,"(-2.014, -0.35]",44,20.5,17.5,-0.67
gap_over_prange,Y_trend_up,"(-0.35, -0.0537]",43,7.0,17.5,-0.185
gap_over_prange,Y_trend_up,"(-0.0537, 0.205]",43,16.3,17.5,0.086
gap_over_prange,Y_trend_up,"(0.205, 0.488]",43,27.9,17.5,0.317
gap_over_prange,Y_trend_up,"(0.488, 2.277]",44,15.9,17.5,0.734
gap_over_prange,Y_wide,"(-2.014, -0.35]",44,31.8,25.3,-0.67
gap_over_prange,Y_wide,"(-0.35, -0.0537]",43,37.2,25.3,-0.185
gap_over_prange,Y_wide,"(-0.0537, 0.205]",43,18.6,25.3,0.086
gap_over_prange,Y_wide,"(0.205, 0.488]",43,23.3,25.3,0.317
gap_over_prange,Y_wide,"(0.488, 2.277]",44,15.9,25.3,0.734
