feature,target,n_f,n_all,base_pct,rate_pct,lift,diff_pp,ci_lo_pp,ci_hi_pp,p_binom,h1h2_same_sign,bonf_sig
big_up1,Y_up_trail,22,217,27.2,22.7,0.84,-4.5,-21.8,14.2,0.8119,True,False
big_up1,Y_up_fixed,22,217,15.7,18.2,1.16,2.5,-13.4,19.8,0.7675,True,False
big_up1,Y_trend_up,22,217,17.5,4.5,0.26,-13.0,-21.2,-1.1,0.1577,True,False
big_up1,Y_wide,22,217,25.3,22.7,0.9,-2.6,-20.3,16.9,1.0,False,False
big_up2,Y_up_trail,22,217,27.2,36.4,1.34,9.2,-10.4,30.5,0.3414,False,False
big_up2,Y_up_fixed,22,217,15.7,18.2,1.16,2.5,-13.0,21.2,0.7675,True,False
big_up2,Y_trend_up,22,217,17.5,27.3,1.56,9.8,-8.0,30.2,0.2566,True,False
big_up2,Y_wide,22,217,25.3,22.7,0.9,-2.6,-19.9,16.5,1.0,True,False
two_big_up,Y_up_trail,1,217,27.2,0.0,0.0,-27.2,,,1.0,False,False
two_big_up,Y_up_fixed,1,217,15.7,0.0,0.0,-15.7,,,1.0,False,False
two_big_up,Y_trend_up,1,217,17.5,0.0,0.0,-17.5,,,1.0,False,False
two_big_up,Y_wide,1,217,25.3,0.0,0.0,-25.3,,,1.0,False,False
pause1,Y_up_trail,81,217,27.2,27.2,1.0,-0.0,-11.0,11.7,1.0,False,False
pause1,Y_up_fixed,81,217,15.7,16.0,1.02,0.4,-8.7,9.9,0.8789,False,False
pause1,Y_trend_up,81,217,17.5,21.0,1.2,3.5,-6.6,14.0,0.3829,True,False
pause1,Y_wide,81,217,25.3,21.0,0.83,-4.4,-14.7,6.4,0.4435,True,False
thrust_pause,Y_up_trail,11,217,27.2,36.4,1.34,9.2,-18.2,38.8,0.5042,True,False
thrust_pause,Y_up_fixed,11,217,15.7,27.3,1.74,11.6,-13.8,40.3,0.3951,True,False
thrust_pause,Y_trend_up,11,217,17.5,36.4,2.08,18.9,-8.4,48.9,0.1106,True,False
thrust_pause,Y_wide,11,217,25.3,18.2,0.72,-7.2,-27.6,18.3,0.7408,False,False
up3,Y_up_trail,45,217,27.2,8.9,0.33,-18.3,-28.1,-7.6,0.0039,True,True
up3,Y_up_fixed,45,217,15.7,6.7,0.43,-9.0,-17.1,0.4,0.1035,True,False
up3,Y_trend_up,45,217,17.5,11.1,0.63,-6.4,-16.3,4.9,0.3283,True,False
up3,Y_wide,45,217,25.3,8.9,0.35,-16.5,-26.0,-6.2,0.0093,True,False
prior_trend_up,Y_up_trail,38,217,27.2,13.2,0.48,-14.0,-25.6,-1.5,0.0662,True,False
prior_trend_up,Y_up_fixed,38,217,15.7,13.2,0.84,-2.5,-13.3,10.8,0.8251,True,False
prior_trend_up,Y_trend_up,38,217,17.5,7.9,0.45,-9.6,-18.9,1.4,0.1375,True,False
prior_trend_up,Y_wide,38,217,25.3,18.4,0.73,-6.9,-19.9,7.6,0.455,True,False
gap_up,Y_up_trail,125,217,27.2,20.8,0.77,-6.4,-15.5,3.0,0.131,True,False
gap_up,Y_up_fixed,125,217,15.7,12.0,0.77,-3.7,-10.9,3.8,0.324,True,False
gap_up,Y_trend_up,125,217,17.5,20.0,1.14,2.5,-6.2,11.4,0.4796,True,False
gap_up,Y_wide,125,217,25.3,19.2,0.76,-6.1,-15.4,2.8,0.1233,True,False
fomc,Y_up_trail,7,217,27.2,28.6,1.05,1.4,-29.0,35.0,1.0,False,False
fomc,Y_up_fixed,7,217,15.7,0.0,0.0,-15.7,-20.7,-11.1,0.6055,False,False
fomc,Y_trend_up,7,217,17.5,0.0,0.0,-17.5,-22.6,-12.4,0.6138,False,False
fomc,Y_wide,7,217,25.3,28.6,1.13,3.2,-26.7,36.9,1.0,False,False
nfp_rule,Y_up_trail,9,217,27.2,22.2,0.82,-5.0,-29.5,25.1,1.0,False,False
nfp_rule,Y_up_fixed,9,217,15.7,22.2,1.42,6.6,-17.5,38.5,0.6393,False,False
nfp_rule,Y_trend_up,9,217,17.5,22.2,1.27,4.7,-18.9,37.1,0.6622,False,False
nfp_rule,Y_wide,9,217,25.3,55.6,2.19,30.2,-2.2,63.1,0.0517,False,False
