bucket,mean_bps,med_bps,yrs_pos,n_years,t,p,bonf_sig
09:30,0.13,1.27,4,8,0.16,0.87511,False
09:45,1.15,1.5,7,8,1.7,0.08931,False
10:00,-0.88,0.04,3,8,-1.38,0.16779,False
10:15,0.92,2.45,7,8,1.69,0.09175,False
10:30,-0.62,0.51,3,8,-1.17,0.24314,False
10:45,-0.77,-0.69,3,8,-1.47,0.14223,False
11:00,1.01,2.0,5,8,2.03,0.04258,False
11:15,0.18,0.92,4,8,0.39,0.69928,False
11:30,-0.06,0.88,2,8,-0.14,0.88884,False
11:45,0.78,1.58,6,8,1.87,0.06167,False
12:00,-0.44,0.21,4,8,-1.01,0.31027,False
12:15,0.06,0.58,4,8,0.15,0.88275,False
12:30,0.19,0.57,5,8,0.5,0.61365,False
12:45,0.06,0.49,3,8,0.17,0.8652,False
13:00,0.01,0.67,5,8,0.03,0.97307,False
13:15,-0.32,0.39,3,8,-0.86,0.39009,False
13:30,0.42,0.76,5,8,1.12,0.26431,False
13:45,0.13,0.41,5,8,0.38,0.70425,False
14:00,-1.04,-0.08,2,8,-2.32,0.02046,False
14:15,0.72,0.54,6,8,1.86,0.06261,False
14:30,0.55,0.64,6,8,1.22,0.22415,False
14:45,0.76,1.2,5,8,1.8,0.07128,False
15:00,-0.4,0.0,3,8,-0.97,0.33237,False
15:15,0.05,0.44,4,8,0.12,0.90772,False
15:30,-0.11,0.13,3,8,-0.26,0.79238,False
15:45,-0.03,-0.14,5,8,-0.04,0.965,False
