minute_index,2018,2019,2020,2021,2022,2023,2024,2025+
1,6.595712840044565,4.8859934853418,8.029709926729023,6.1689468922199175,10.560874705889955,6.314481884717171,5.160410885545197,6.379741865828459
2,5.261562742481241,4.647650031952555,6.997900629810427,5.111331182314771,11.254564813147905,5.590628038907308,4.588383741828128,4.918375184439494
3,5.209690298362268,3.9449272531966173,6.573778640031058,4.644538023286238,9.71196365606497,5.003055020195157,4.2476587309614455,4.740737545024798
4,4.75145910450836,3.924866834874585,6.572317399116123,4.760950185426216,8.864083494353192,5.4293740188698925,4.8919120387624915,4.5028111790523795
5,5.900060579563382,4.056560037087875,7.535795026374359,5.045885183094789,9.124918900574874,4.338293956317463,4.655342825494735,4.541252412539887
6,5.326492138767458,3.9580852583953607,7.050911194677045,4.6956623818728005,7.134722924161951,4.980891548086452,3.693216791825771,4.351259447873401
7,4.554161881142882,3.480827825599331,5.942112325090232,4.187955440154711,7.170816819959125,4.282699370865006,3.7659777142717843,3.861194176990601
8,4.71703957085734,3.227715315510249,5.282992286830268,4.696243838089309,6.736031014746291,4.6467991358267735,3.858725258762963,3.512058066026391
9,4.111448601362699,2.944640753829164,5.533235499314282,3.793584697079355,7.343696725796156,4.4870176360994884,3.639506846822016,3.6209015712718173
10,4.903456854696842,4.222972972973693,5.583680762357712,4.5063379462717545,8.818081210799079,4.6150097675234925,4.375863657301027,3.6878335269441287
11,3.9797366335625473,3.6935415787242576,4.794783275795522,4.243881737162614,7.592065509016699,4.682094499486866,3.6230333910280965,4.799539244232376
12,4.417990620304568,3.109613889609175,5.264450917767949,3.685141509435219,7.484273615432913,4.545614947661369,3.30228061695248,4.022244762336147
13,4.132965078019746,3.2270209218521195,4.49518520300396,3.0344409042637466,6.706716796455181,4.666696397223058,3.653161752574796,3.9820445989002806
14,4.704648433772052,2.977371973005294,5.412719891746409,3.284736084088191,6.74243867778368,3.6456586840616367,2.990553974342447,3.1127129750996296
15,4.840578486401403,3.7403152551429564,5.676979846722663,4.790706030302072,8.483502783792618,4.77852708451687,4.097520999793991,5.2441822353332945
16,4.2428989950810125,3.389338110686424,4.463017811497938,3.84843102427479,6.908407963871488,4.087463739463337,3.6906079979048823,3.945273421539497
17,4.386165552313637,3.470328689704205,4.530695461752998,3.6629078255401293,6.433724838148525,3.6206870382488043,3.1298204824392606,4.349338295392968
18,4.145591368923118,3.1848959856106696,5.099092361557922,3.519319782651076,6.915113308013643,3.9204062747322244,3.514444366344849,3.8624330109271465
19,4.406840319489125,2.3493480559144686,4.50185268552783,3.811653495285894,6.46548795916746,3.5393857633209125,3.811402820439458,4.539014896220994
20,4.694084161700474,3.6815682258994897,6.189604846156271,4.0911379657604385,6.646773278152218,4.734471507276128,4.048947273709302,5.405697605274096
21,3.5635290641217177,2.9205607476623374,4.858074814353408,3.7337009592741666,6.671794365051831,4.054543947127343,3.192993659626442,3.936585191282038
22,3.7610571707669127,3.109130479843625,4.825589411276976,3.67444424030805,6.209169829757832,3.7499920063882586,2.9200020137953864,3.615411816764169
23,4.107385562912569,2.657030502710711,4.531037607613531,3.547938102126391,7.134506293494103,3.9691546090259155,2.8031488705648755,3.429109970132238
24,3.5516644983363266,2.785748445719438,4.440250874173657,3.0783869252504203,5.032760559302574,3.516902334954608,2.9491833030848014,3.6940353642322954
25,3.695525160068991,2.951593860684998,4.8743740860546225,3.639010189229186,7.260936455826816,3.5844154752001645,3.062129872273278,3.7757221068535074
26,3.7600950467397976,2.774694783573839,4.273006254127409,3.805224967523557,5.657876613025525,3.606458137450641,3.320604349991152,3.7101672323514023
27,3.4787650413359295,2.6172529313228665,4.635057392915476,3.2022357427730075,5.703576893720808,3.3516470024563816,3.042866380131848,3.3951165909862357
28,3.6623909540600685,2.4751249938126385,4.506099327303836,3.0346454095897535,5.721941793704888,3.104769049700473,2.532385312166152,3.1884062568909854
