symbol,feature,target,n_f,n_days,base_pct,rate_pct,diff_pp
QQQ,big_up1,Y_up_trail,22,219,27.4,22.7,-4.7
QQQ,big_up2,Y_up_trail,22,219,27.4,36.4,9.0
QQQ,two_big_up,Y_up_trail,1,219,27.4,,
QQQ,pause1,Y_up_trail,82,219,27.4,26.8,-0.6
QQQ,thrust_pause,Y_up_trail,11,219,27.4,36.4,9.0
QQQ,up3,Y_up_trail,43,219,27.4,9.3,-18.1
QQQ,prior_trend_up,Y_up_trail,39,219,27.4,12.8,-14.6
QQQ,gap_up,Y_up_trail,127,219,27.4,20.5,-6.9
QQQ,fomc,Y_up_trail,7,219,27.4,,
QQQ,nfp_rule,Y_up_trail,9,219,27.4,22.2,-5.2
QQQ,gap_dn_Q1,Y_up_trail,44,219,27.4,38.6,11.2
QQQ,gap_up_Q5,Y_up_trail,44,219,27.4,15.9,-11.5
QQQ,pm_bounced|event,Y_up_trail,19,44,38.6,57.9,19.3
QQQ,big_up1,Y_wide,22,219,25.1,22.7,-2.4
QQQ,big_up2,Y_wide,22,219,25.1,22.7,-2.4
QQQ,two_big_up,Y_wide,1,219,25.1,,
QQQ,pause1,Y_wide,82,219,25.1,20.7,-4.4
QQQ,thrust_pause,Y_wide,11,219,25.1,18.2,-6.9
QQQ,up3,Y_wide,43,219,25.1,9.3,-15.8
QQQ,prior_trend_up,Y_wide,39,219,25.1,17.9,-7.2
QQQ,gap_up,Y_wide,127,219,25.1,18.9,-6.2
QQQ,fomc,Y_wide,7,219,25.1,,
QQQ,nfp_rule,Y_wide,9,219,25.1,55.6,30.4
QQQ,gap_dn_Q1,Y_wide,44,219,25.1,31.8,6.7
QQQ,gap_up_Q5,Y_wide,44,219,25.1,15.9,-9.2
QQQ,pm_bounced|event,Y_wide,19,44,31.8,57.9,26.1
