feature,target,n_symbols,median_diff_pp,pct_positive,sign_test_p,median_n_f
pm_bounced|event,Y_up_trail,1,19.3,100.0,,19
gap_dn_Q1,Y_up_trail,1,11.2,100.0,,44
big_up2,Y_up_trail,1,9.0,100.0,,22
thrust_pause,Y_up_trail,1,9.0,100.0,,11
pause1,Y_up_trail,1,-0.6,0.0,,82
big_up1,Y_up_trail,1,-4.7,0.0,,22
nfp_rule,Y_up_trail,1,-5.2,0.0,,9
gap_up,Y_up_trail,1,-6.9,0.0,,127
gap_up_Q5,Y_up_trail,1,-11.5,0.0,,44
prior_trend_up,Y_up_trail,1,-14.6,0.0,,39
up3,Y_up_trail,1,-18.1,0.0,,43
nfp_rule,Y_wide,1,30.4,100.0,,9
pm_bounced|event,Y_wide,1,26.1,100.0,,19
gap_dn_Q1,Y_wide,1,6.7,100.0,,44
big_up1,Y_wide,1,-2.4,0.0,,22
big_up2,Y_wide,1,-2.4,0.0,,22
pause1,Y_wide,1,-4.4,0.0,,82
gap_up,Y_wide,1,-6.2,0.0,,127
thrust_pause,Y_wide,1,-6.9,0.0,,11
prior_trend_up,Y_wide,1,-7.2,0.0,,39
gap_up_Q5,Y_wide,1,-9.2,0.0,,44
up3,Y_wide,1,-15.8,0.0,,43
