feature,quintile,n,med_val,runner_pct,base_pct,H1_pct,H2_pct
open_pos_pm,1,44,0.145,25.0,27.2,37.5,17.9
open_pos_pm,2,43,0.347,37.2,27.2,27.8,44.0
open_pos_pm,3,43,0.614,25.6,27.2,28.6,22.7
open_pos_pm,4,43,0.761,34.9,27.2,31.6,37.5
open_pos_pm,5,44,0.913,13.6,27.2,21.1,8.0
pm_ret_pct,1,44,-0.852,43.2,27.2,57.1,36.7
pm_ret_pct,2,43,-0.205,25.6,27.2,29.2,21.1
pm_ret_pct,3,43,0.136,27.9,27.2,31.6,25.0
pm_ret_pct,4,43,0.398,16.3,27.2,10.0,21.7
pm_ret_pct,5,44,0.956,22.7,27.2,25.0,21.4
pm_range_pct,1,44,0.387,13.6,27.2,19.4,0.0
pm_range_pct,2,43,0.622,14.0,27.2,10.5,16.7
pm_range_pct,3,43,0.844,25.6,27.2,31.6,20.8
pm_range_pct,4,43,1.149,30.2,27.2,33.3,29.0
pm_range_pct,5,44,1.64,52.3,27.2,75.0,43.8
pm_vol_ratio,1,44,0.641,6.8,27.2,10.0,4.2
pm_vol_ratio,2,43,0.844,18.6,27.2,28.6,13.8
pm_vol_ratio,3,43,1.056,41.9,27.2,30.0,52.2
pm_vol_ratio,4,43,1.304,23.3,27.2,31.8,14.3
pm_vol_ratio,5,44,1.921,45.5,27.2,47.1,44.4
