date,shares,entry,exit,reason,pnl,equity,ret_R,variant
2025-07-07,180,553.38,552.44,time,-172.8,99827.2,-0.17,all events
2025-07-11,180,554.38,555.52,time,201.6,100028.8,0.2,all events
2025-08-01,181,552.55,553.77,time,217.2,100246.0,0.22,all events
2025-08-14,172,580.2727,581.07,time,133.7,100379.7,0.13,all events
2025-08-29,175,572.03,569.5463,time,-438.15,99941.55,-0.44,all events
2025-09-02,176,565.06,563.06,time,-355.52,99586.03,-0.36,all events
2025-09-22,166,599.07,601.89,time,464.8,100050.83,0.47,all events
2025-09-25,169,589.28,592.7,time,574.6,100625.43,0.57,all events
2025-10-01,168,597.73,602.36,time,774.48,101399.91,0.77,all events
2025-10-14,170,593.54,602.33,time,1490.9,102890.81,1.47,all events
2025-10-30,162,632.87,630.2101,time,-434.14,102456.66,-0.42,all events
2025-11-04,163,626.435,620.1706499999999,stop,-1024.35,101432.32,-1.0,all events
2025-11-11,163,620.77,621.5399,time,122.23,101554.55,0.12,all events
2025-11-13,164,615.62,609.4638,stop,-1012.9,100541.65,-1.0,all events
2025-11-14,166,604.5601,610.65,time,1007.6,101549.26,1.0,all events
2025-12-01,164,616.42,618.82,time,390.32,101939.58,0.38,all events
2025-12-03,164,620.125,623.0,time,468.22,102407.8,0.46,all events
2025-12-11,165,618.1,623.36,time,864.6,103272.4,0.84,all events
2025-12-12,166,621.11,614.8989,stop,-1034.36,102238.03,-1.0,all events
2025-12-29,164,620.76,620.0107,time,-126.17,102111.87,-0.12,all events
2026-01-12,163,625.87,628.14,time,366.75,102478.62,0.36,all events
2026-01-14,165,617.38,616.2,time,-198.0,102280.62,-0.19,all events
2026-01-20,167,612.03,610.5551,time,-249.65,102030.97,-0.24,all events
2026-02-05,170,599.09,599.63,time,88.4,102119.37,0.09,all events
2026-02-20,168,605.22,606.52,time,215.04,102334.41,0.21,all events
2026-02-27,169,604.78,605.19,time,65.91,102400.32,0.06,all events
2026-03-02,169,602.83,608.13,time,892.32,103292.64,0.87,all events
2026-03-03,173,595.79,601.61,time,1003.4,104296.04,0.97,all events
2026-03-06,173,601.63,603.94,time,396.17,104692.21,0.38,all events
2026-03-09,176,592.8,598.64,time,1024.32,105716.53,0.98,all events
2026-03-12,175,600.89,600.07,time,-147.0,105569.53,-0.14,all events
2026-03-18,175,601.78,598.92,time,-504.0,105065.53,-0.48,all events
2026-03-19,177,591.93,590.33,time,-286.74,104778.79,-0.27,all events
2026-03-24,179,584.53,583.98,time,-102.03,104676.76,-0.1,all events
2026-03-26,179,583.92,578.0808,stop,-1048.8,103627.96,-1.0,all events
2026-04-02,179,577.16,583.51,time,1133.07,104761.03,1.09,all events
2026-04-07,179,582.31,584.26,time,345.47,105106.5,0.33,all events
2026-04-13,171,611.99,614.665,time,454.0,105560.51,0.43,all events
2026-04-28,160,658.35,655.829,time,-406.56,105153.95,-0.39,all events
2026-05-12,148,705.89,698.8311,stop,-1047.68,104106.27,-1.0,all events
2026-05-15,147,707.17,713.68,time,954.03,105060.3,0.92,all events
2026-05-19,149,701.45,706.0099,time,676.45,105736.75,0.64,all events
2026-05-21,148,711.08,714.24,time,464.72,106201.47,0.44,all events
2026-06-04,144,734.65,741.68,time,1009.44,107210.91,0.95,all events
2026-06-05,148,723.97,716.7303,stop,-1074.44,106136.47,-1.0,all events
2026-06-23,147,721.57,718.62,time,-436.59,105699.88,-0.41,all events
2026-06-26,148,710.71,714.08,time,495.8,106195.68,0.47,all events
2025-10-01,167,597.73,602.36,time,769.87,100769.87,0.77,PM-checked
2025-10-14,169,593.54,602.33,time,1482.13,102252.0,1.47,PM-checked
2025-11-04,163,626.435,620.1706499999999,stop,-1024.35,101227.65,-1.0,PM-checked
2025-12-11,163,618.1,623.36,time,854.12,102081.77,0.84,PM-checked
2025-12-12,164,621.11,614.8989,stop,-1021.9,101059.87,-1.0,PM-checked
2026-01-12,161,625.87,628.14,time,362.25,101422.12,0.36,PM-checked
2026-01-20,165,612.03,610.5551,time,-246.66,101175.46,-0.24,PM-checked
2026-03-02,167,602.83,608.13,time,881.76,102057.22,0.87,PM-checked
2026-03-03,171,595.79,601.61,time,991.8,103049.02,0.97,PM-checked
2026-03-09,173,592.8,598.64,time,1006.86,104055.88,0.98,PM-checked
2026-03-26,178,583.92,578.0808,stop,-1042.94,103012.94,-1.0,PM-checked
2026-04-02,178,577.16,583.51,time,1126.74,104139.68,1.09,PM-checked
2026-04-07,178,582.31,584.26,time,343.54,104483.22,0.33,PM-checked
2026-04-13,170,611.99,614.665,time,451.35,104934.57,0.43,PM-checked
2026-04-28,159,658.35,655.829,time,-404.02,104530.56,-0.39,PM-checked
2026-05-12,148,705.89,698.8311,stop,-1047.68,103482.88,-1.0,PM-checked
2026-05-15,146,707.17,713.68,time,947.54,104430.42,0.92,PM-checked
2026-06-04,142,734.65,741.68,time,995.42,105425.84,0.95,PM-checked
2026-06-26,148,710.71,714.08,time,495.8,105921.64,0.47,PM-checked
