date,half,entry,target,exit,reason,net_bps,trend_up
2025-07-02,H1,550.2,550.76,550.76,target,9.9,True
2025-07-11,H1,555.13,555.51,555.51,target,6.5,False
2025-07-14,H1,555.45,555.92,555.92,target,8.1,False
2025-07-17,H1,561.51,561.68,561.68,target,2.7,True
2025-07-25,H1,566.46,566.54,566.54,target,1.1,False
2025-07-30,H1,569.03,569.47,569.47,target,7.3,False
2025-08-04,H1,563.15,563.29,563.29,target,2.1,True
2025-08-06,H1,565.73,566.09,566.09,target,6.1,True
2025-08-08,H1,573.69,574.26,574.26,target,9.6,True
2025-08-11,H1,575.78,575.92,575.92,target,2.2,False
2025-08-14,H1,579.99,581.88,579.93,stop,-1.4,False
2025-08-22,H1,572.06,573.99,570.87,stop,-21.1,True
2025-08-25,H1,573.05,573.29,571.68,stop,-24.2,False
2025-08-26,H1,571.16,571.81,571.81,target,11.0,True
2025-08-27,H1,573.49,573.77,572.36,stop,-20.0,False
2025-08-28,H1,575.16,576.77,576.77,target,27.6,False
2025-09-08,H1,580.22,580.84,579.86,stop,-6.6,False
2025-09-11,H1,584.48,584.88,584.67,flat,2.8,False
2025-09-12,H1,586.08,586.83,586.83,target,12.5,False
2025-09-15,H1,590.86,591.13,591.13,target,4.2,True
2025-09-18,H1,596.27,598.14,596.15,stop,-2.5,False
2025-09-22,H1,600.31,600.72,600.72,target,6.5,True
2025-09-25,H1,594.85,595.12,592.32,stop,-42.9,False
2025-09-30,H1,598.24,599.41,597.74,stop,-8.6,False
2025-10-01,H1,601.43,601.49,601.49,target,0.7,True
2025-10-08,H1,609.46,609.68,609.68,target,3.4,True
2025-10-13,H1,601.1,601.74,601.74,target,10.3,False
2025-10-14,H1,599.29,600.07,600.07,target,12.7,False
2025-10-17,H1,601.28,603.32,603.32,target,33.6,False
2025-10-20,H1,611.92,612.58,612.58,target,10.5,True
2025-10-23,H1,609.13,609.69,609.69,target,8.9,True
2025-10-24,H1,617.6,617.9,617.9,target,4.6,False
2025-10-27,H1,626.56,626.75,626.75,target,2.7,True
2025-11-05,H1,624.08,624.43,624.43,target,5.3,False
2025-11-14,H1,611.82,612.74,612.74,target,14.8,False
2025-11-24,H1,603.31,604.15,604.15,target,13.6,True
2025-11-25,H1,604.77,605.1,605.1,target,5.1,False
2025-12-01,H1,618.21,618.36,618.36,target,2.2,False
2025-12-03,H1,621.39,622.65,622.65,target,20.0,False
2025-12-09,H1,625.22,625.38,625.38,target,2.3,False
2025-12-18,H1,611.99,612.93,610.43,stop,-25.8,False
2025-12-19,H1,615.67,617.62,616.88,flat,19.4,True
2026-01-05,H2,619.85,620.81,619.18,stop,-11.1,False
2026-01-07,H2,627.38,627.43,627.43,target,0.4,False
2026-01-12,H2,627.27,627.61,627.61,target,5.1,True
2026-01-20,H2,614.3,615.05,612.87,stop,-23.6,False
2026-01-23,H2,623.65,625.4,622.69,stop,-15.6,False
2026-01-26,H2,626.97,627.44,627.44,target,7.2,False
2026-01-27,H2,631.15,631.83,630.44,stop,-11.7,False
2026-02-02,H2,627.4,627.6,627.6,target,2.9,True
2026-02-06,H2,605.69,607.23,607.23,target,25.1,True
2026-02-09,H2,615.71,615.89,615.89,target,2.6,False
2026-02-13,H2,604.03,605.0,605.0,target,15.7,False
2026-02-18,H2,608.2,609.5,609.5,target,21.1,False
2026-02-20,H2,609.24,610.35,606.62,stop,-43.4,True
2026-02-24,H2,607.65,608.21,608.21,target,8.9,False
2026-02-25,H2,614.88,615.89,615.89,target,16.0,True
2026-02-27,H2,607.34,607.97,607.97,target,10.0,True
2026-03-02,H2,608.24,608.57,608.57,target,5.1,True
2026-03-04,H2,611.19,611.74,611.74,target,8.7,True
2026-03-06,H2,604.89,605.88,605.88,target,16.0,False
2026-03-09,H2,599.1,599.67,599.67,target,9.2,True
2026-03-19,H2,590.81,593.13,590.32,stop,-8.6,False
2026-03-24,H2,586.02,587.93,585.04,stop,-17.1,False
2026-04-01,H2,586.84,587.18,587.18,target,5.5,False
2026-04-02,H2,582.8,586.05,584.8,flat,33.9,True
2026-04-13,H2,611.55,612.88,612.88,target,21.4,False
2026-04-14,H2,625.55,626.11,626.11,target,8.7,True
2026-04-15,H2,633.26,633.74,633.74,target,7.3,True
2026-04-16,H2,641.78,641.81,641.81,target,0.2,False
2026-04-17,H2,647.97,649.9,649.9,target,29.5,False
2026-04-22,H2,652.49,653.23,653.23,target,11.0,True
2026-04-23,H2,655.27,656.92,654.54,stop,-11.5,False
2026-04-24,H2,662.88,663.43,663.43,target,8.1,True
2026-05-01,H2,675.35,675.97,673.92,stop,-21.5,True
2026-05-05,H2,681.34,681.81,681.81,target,6.6,True
2026-05-06,H2,691.8,692.47,692.47,target,9.4,True
2026-05-08,H2,707.63,708.03,708.03,target,5.4,True
2026-05-13,H2,710.8,712.36,712.36,target,21.7,False
2026-05-14,H2,721.65,721.81,721.81,target,1.9,True
2026-05-15,H2,710.44,712.67,709.81,stop,-9.2,False
2026-05-28,H2,734.61,735.41,735.41,target,10.7,False
2026-06-02,H2,745.76,745.89,745.89,target,1.5,False
2026-06-15,H2,744.14,744.16,744.16,target,0.0,True
2026-06-18,H2,738.84,739.14,739.14,target,3.8,False
2026-06-25,H2,714.31,726.83,713.99,stop,-4.8,False
2026-06-26,H2,713.15,715.55,710.73,stop,-34.2,False
